7:8,15,29,58,301,302,518,616,692,861
18:431,17608,26299,32205,43893,47812,54038,63512,85561,102146
19:81,2048,13694,19480,20378,32986,55247,59083,63138,88259
36:15,17,29,62,70,354,518,616,654,2162
37:65,84,296,1126,2980,3476,3521,6009,7910,9617
41:17,61,138,402,542,1023,1405,2193,3890,5407
42:17,131,245,518,787,1009,1405,2193,3642,7451
43:17,327,521,1405,1535,1678,1987,6977,14761,15676
44:15,97,302,542,564,616,2338,5413,5710,26042
45:347,4858,11557,23970,40198,43527,53818,65088,79096,117814
46:61,76,245,289,322,508,542,616,736,2789
59:15,29,422,508,616,999,1126,3017,16134,37900
60:3,29,58,84,224,302,726,1102,2868,6011
69:32,58,61,285,559,564,656,787,1217,16319
70:76,301,302,616,654,24138,31670,68787,73800,119010
94:65,119,322,508,559,564,6175,8276,12066,85755
106:15,32,84,94,101,554,736,1102,1578,67595
115:15,58,61,518,709,966,1360,1405,2816,2982
116:70,226,238,834,986,1023,1326,1790,3599,82524
142:8,32,58,61,114,296,322,356,999,1332
143:17,84,114,394,483,616,3231,20605,49245,86747
148:8,15,70,564,616,1023,1405,4048,18867,46215
150:15,17,29,61,302,356,564,654,861,1196
156:58,61,302,402,568,7029,12183,15148,19666,52773
161:15,84,101,179,542,616,1039,9581,12259,13062
171:6,15,84,101,239,302,354,518,726,1196
172:32,58,84,162,483,542,654,861,1217,1578
174:117,245,518,654,873,74620,91046,103672,109231,115036
177:17,29,58,364,542,616,650,654,1102,1476
196:101,289,356,427,542,616,650,3476,4578,17164
202:8,15,32,58,194,220,354,402,736,1050
211:17,787,2193,6574,7794,12160,19749,39320,64225,106950
217:17,84,103,167,245,518,654,999,2115,2548
220:186,1342,7478,7649,10178,13192,22713,39446,58738,64973
223:58,94,119,167,245,322,518,559,564,654
224:84,94,353,601,654,1467,1951,4797,16918,24044
225:6,15,61,302,353,542,654,1119,1187,32619
228:15,17,58,61,302,361,568,650,787,10039
229:15,58,94,245,508,736,787,861,1196,1410
231:58,61,84,302,364,542,616,654,1196,95969
232:190,2476,5844,6476,7752,10261,41443,73208,77677,83516
238:441,827,2672,3618,4421,4513,9055,10536,11260,46530
241:15,58,356,364,518,542,564,650,1196,1511
245:81,262,508,780,12895,16786,35859,40012,54223,62162
249:17,84,94,103,254,302,654,1267,8483,91955
250:29,58,302,356,542,564,616,654,787,3250
253:189,1206,1527,1744,3172,4568,4825,6434,8848,15608
257:15,17,61,62,65,245,508,542,709,861
272:6,29,58,239,354,508,616,654,1102,55965
273:15,17,32,138,245,289,302,354,654,967
288:17,29,58,84,116,449,616,650,699,5998
290:76,138,226,302,354,616,654,1382,1535,13501
291:17,23,508,10384,10511,15989,16625,16852,26067,26721
292:58,61,138,289,508,542,616,654,1476,3234
294:8,17,32,76,302,363,508,542,787,1102
328:8,58,84,301,302,518,650,654,1102,43507
331:15,17,58,554,616,654,1424,4904,7271,35735
345:1754,2406,11281,11401,29573,39936,62840,77581,81616,100590
361:8,58,61,138,301,354,616,787,902,1762
376:3,6,17,29,58,302,322,616,1476,2868
384:17,32,61,62,301,302,542,654,1196,4940
401:15,58,354,542,616,1009,1102,1511,14202,19431
402:15,101,239,301,302,542,654,787,4793,16056
410:124,463,760,801,984,1147,1326,2880,4755,8860
448:61,245,518,542,598,616,787,1382,17532,53377
449:15,17,65,70,103,402,518,1405,4967,11484
450:65,76,116,193,302,990,1039,5567,8105,25061
452:17,302,483,554,656,749,5869,13523,36183,56536
476:17,398,508,1023,1840,5731,15424,69277,71577,77594
488:15,17,542,564,616,787,1050,1196,1548,3304
490:15,17,29,32,101,289,302,354,394,1403
494:11,15,17,32,58,356,564,616,1196,14202
500:17,58,62,138,301,616,1912,4756,14750,22199
514:15,364,508,1196,8276,9874,11206,18287,28541,57750
525:61,70,302,496,518,564,616,875,2967,6202
535:6,17,29,101,354,542,554,861,1403,3234
536:29,32,58,76,97,302,616,654,813,8276
538:15,32,58,101,245,508,616,999,1102,2193
539:17,29,32,58,61,508,542,654,1039,14202
564:65,76,84,97,554,564,650,709,1891,86763
582:29,61,73,76,138,356,518,564,616,1196
585:15,17,29,70,84,185,302,616,654,46483
590:29,32,76,101,239,518,564,654,787,2073
601:226,18245,27912,31717,48912,69110,75023,90054,105155,121660
618:58,61,138,226,542,554,616,780,1535,25910
624:8,17,61,76,245,352,508,518,3915,27444
627:4671,5512,7334,11539,19731,32661,42376,48502,83175,114599
628:8,11,17,40,60,70,608,21488,74618,84119
632:81,226,429,931,986,1276,1535,12090,36681,42713
633:32,58,289,302,518,902,1039,1196,1424,1511
634:8,70,226,518,780,902,1065,1535,39851,61651
646:70,564,1913,1995,2638,8384,79374,83231,83724,108047
666:1337,3034,6563,10981,11590,21249,25145,35817,40086,46142
667:17,32,65,616,674,1405,1511,8527,27886,33745
669:81,224,481,518,736,2337,42575,92369,103327,111861
678:17,32,61,76,654,720,901,1535,21462,30911
680:15,17,32,58,61,65,559,616,650,654
681:8,245,441,877,1205,1744,2153,3521,4513,16036
682:336,3969,6244,6755,7711,9531,12240,19236,21031,26376
683:226,429,441,542,669,866,27552,45128,69187,97127
684:168,2318,8860,10493,11470,11984,22890,29161,30357,69720
715:1547,1753,2543,4671,8392,9435,12861,36991,59850,61368
716:17,58,62,84,302,616,654,8897,56166,70959
741:135,168,574,984,1400,1740,8860,22841,86896,105597
750:15,61,194,1217,1578,2059,2369,19963,34508,84361
754:17,58,61,94,302,356,709,787,2085,8546
756:84,285,495,542,616,787,837,861,1476,8105
757:17,285,564,616,698,861,1511,2139,47161,84478
758:15,65,236,356,1109,1240,2831,10046,10849,15676
763:8,15,17,29,61,84,554,591,650,40704
773:6,17,62,76,1196,1511,7742,28635,58120,105394
774:17,61,65,116,138,302,554,1086,1196,4669
775:15,58,354,518,559,564,787,1102,1511,2233
782:65,131,518,654,931,1405,1825,9617,26744,103144
784:17,84,101,114,289,302,356,518,542,1405
793:61,101,398,709,1535,3250,3448,10075,13203,13636
803:84,245,354,363,891,1119,2789,3389,6450,15242
813:17,61,101,289,554,564,616,654,8276,35068
815:15,58,61,364,542,564,654,787,1023,1535
817:8,15,29,58,94,101,138,495,1102,1476
818:135,463,984,1147,1326,2318,5480,7235,7711,8860
823:8,15,17,518,1382,1744,3163,14498,21145,71891
825:29,70,94,518,616,654,1102,1119,3632,77914
833:58,322,402,508,559,787,1050,1405,2982,17164
835:15,58,61,101,302,518,530,616,654,1804
838:131,1902,2548,6344,7210,8066,9412,15131,59120,84808
844:8,58,61,76,94,518,554,736,861,1762
850:17,61,76,84,302,354,546,657,866,28379
856:194,364,598,709,999,1140,1405,1958,13498,19984
857:6,15,101,114,302,402,518,542,787,3476
874:29,119,302,518,932,1696,3233,9617,19669,21145
891:8,15,17,254,302,354,361,654,17934,112071
899:15,17,32,61,94,302,654,709,1410,1815
900:2447,3180,3829,4126,5598,8209,13388,16155,24211,31369
911:15,62,245,302,364,2139,7981,43400,54338,87631
918:17,58,84,94,302,361,616,654,2917,3250
925:15,17,29,58,289,302,564,616,654,93298
926:58,84,116,162,302,322,542,554,564,3234
937:245,302,518,564,616,654,776,1511,3485,61146
949:8,17,70,238,245,301,353,402,1023,1790
964:65,353,947,970,1987,2403,3207,4268,6210,43335
970:8,2251,2656,4300,5998,9093,14636,39096,50946,83571
977:17,29,61,364,518,690,709,787,1217,1804
981:710,1002,1340,1744,1757,2028,3506,3618,4513,14955
982:17,84,245,354,496,736,875,2162,6450,11995
984:15,17,245,395,564,616,1405,1572,4268,21899
992:8,131,245,508,564,1050,1987,2068,2200,15992
